"ReportedYear","ReportedMonth","State","UFO_Shape","NumberSeen","DurationInSeconds","DurationSecondsMin","DurationSecondsMax","DurationSecondsMean","DurationSecondsMedian","DurationSecondsStandardDeviation"
"2014","08","AB","Light",1,6,6,6,6,6,NA
"2014","08","AB","Sphere",1,360,360,360,360,360,NA
"2014","08","AB","Triangle",3,5410,5,5400,1803.33333333333,5,3114.80470227803
"2014","08","BC","Cigar",1,900,900,900,900,900,NA
"2014","08","BC","Circle",1,15,15,15,15,15,NA
"2014","08","BC","Fireball",2,7,3,4,3.5,3.5,0.707106781186548
"2014","08","BC","Light",1,2,2,2,2,2,NA
"2014","08","BC","Triangle",1,10,10,10,10,10,NA
"2014","08","BC","Unknown",1,60,60,60,60,60,NA
"2014","08","NB","Fireball",1,300,300,300,300,300,NA
"2014","08","NS","Oval",1,0,0,0,0,0,NA
"2014","08","NS","Rectangle",1,2100,2100,2100,2100,2100,NA
"2014","08","ON","",1,20,20,20,20,20,NA
"2014","08","ON","Chevron",1,180,180,180,180,180,NA
"2014","08","ON","Cigar",1,0,0,0,0,0,NA
"2014","08","ON","Circle",5,3660,0,1800,732,600,768.843287022785
"2014","08","ON","Diamond",2,300,0,300,150,150,212.132034355964
"2014","08","ON","Disk",2,1380,180,1200,690,690,721.248916810279
"2014","08","ON","Egg",1,90,90,90,90,90,NA
"2014","08","ON","Fireball",3,555,30,480,185,45,255.587558382641
"2014","08","ON","Light",8,1290,0,600,161.25,120,202.021038508369
"2014","08","ON","Oval",2,198,78,120,99,99,29.698484809835
"2014","08","ON","Triangle",3,450,30,240,150,180,108.16653826392
"2014","08","ON","Unknown",1,7200,7200,7200,7200,7200,NA
"2014","08","QC","Circle",1,30,30,30,30,30,NA
"2014","08","QC","Fireball",1,60,60,60,60,60,NA
"2014","08","QC","Light",1,3,3,3,3,3,NA
"2014","08","QC","Unknown",1,90,90,90,90,90,NA
"2014","08","SK","Circle",2,2700,900,1800,1350,1350,636.396103067893
"2014","08","SK","Diamond",1,5,5,5,5,5,NA
"2014","09","AB","Flash",1,5,5,5,5,5,NA
"2014","09","AB","Sphere",1,120,120,120,120,120,NA
"2014","09","AB","Triangle",1,0,0,0,0,0,NA
"2014","09","BC","Circle",2,11,5,6,5.5,5.5,0.707106781186548
"2014","09","BC","Oval",1,0,0,0,0,0,NA
"2014","09","BC","Sphere",1,15,15,15,15,15,NA
"2014","09","BC","Unknown",1,300,300,300,300,300,NA
"2014","09","NB","Diamond",1,300,300,300,300,300,NA
"2014","09","ON","Circle",1,20,20,20,20,20,NA
"2014","09","ON","Cross",1,30,30,30,30,30,NA
"2014","09","ON","Egg",1,45,45,45,45,45,NA
"2014","09","ON","Light",1,0,0,0,0,0,NA
"2014","09","ON","Other",1,600,600,600,600,600,NA
"2014","09","ON","Rectangle",1,60,60,60,60,60,NA
"2014","09","ON","Unknown",1,3600,3600,3600,3600,3600,NA
"2014","09","QC","Oval",1,20,20,20,20,20,NA
