"ReportedYear","ReportedMonth","State","UFO_Shape","NumberSeen","DurationInSeconds","DurationSecondsMin","DurationSecondsMax","DurationSecondsMean","DurationSecondsMedian","DurationSecondsStandardDeviation"
"2014","08","","",3,1020,120,600,340,300,242.487113059643
"2014","08","","Changing",1,2700,2700,2700,2700,2700,NA
"2014","08","","Circle",5,469,0,300,93.8,40,124.588121424155
"2014","08","","Diamond",1,120,120,120,120,120,NA
"2014","08","","Disk",1,180,180,180,180,180,NA
"2014","08","","Fireball",2,20,0,20,10,10,14.142135623731
"2014","08","","Formation",5,194,0,180,38.8,4,79.0392307654876
"2014","08","","Light",4,600,60,300,150,120,114.891252930761
"2014","08","","Oval",1,120,120,120,120,120,NA
"2014","08","","Triangle",3,5440,10,5400,1813.33333333333,30,3106.16054532494
"2014","08","","Unknown",1,60,60,60,60,60,NA
"2014","09","","Circle",1,420,420,420,420,420,NA
"2014","09","","Cylinder",1,50,50,50,50,50,NA
"2014","09","","Other",3,4680,300,3600,1560,780,1782.91895497244
"2014","09","","Oval",1,1620,1620,1620,1620,1620,NA
"2014","09","","Triangle",1,50,50,50,50,50,NA
