"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"10/1/1949","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/2/1970","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/1/1943","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/1/1965","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"6/1/1991","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"1/1/1992","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/25/1979","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"8/1/1944","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/1/1928","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"7/23/1962","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"5/1/1909","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"4/1/1986","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/18/1991","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"6/1/1984","5 ft","heavy",5,60,648.5,126.637638888889,"Obese"
"5/1/1934","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"12/13/1980","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/16/1982","7 ft","very thin",7,84,300,29.8894557823129,"Overweight"
"7/19/1954","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/19/1970","11 ft","very heavy",11,132,1012,40.8308080808081,"Obese"
"11/23/1969","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"1/1/1970","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/14/1970","9 ft","very heavy",9,108,1012,60.9941700960219,"Obese"
"12/1/1969","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"12/1/1969","5-6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"2/14/1970","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/1/1970","8 ft","medium",8,96,529,40.3523220486111,"Obese"
"7/9/1970","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/10/1970","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/2/1970","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"4/23/1970","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"3/28/1977","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"4/30/1979","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"3/15/1987","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/11/1989","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/12/1989","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/26/1972","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1970","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"3/5/1969","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"2/2/1972","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"12/1/1972","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/8/1972","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"2/1/1972","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"12/15/1971","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/14/1972","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/1/1972","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
