"ReportedYear","ReportedMonth","State","UFO_Shape","NumberSeen","DurationInSeconds","DurationSecondsMin","DurationSecondsMax","DurationSecondsMean","DurationSecondsMedian","DurationSecondsStandardDeviation"
"2014","08","AK","Light",2,300,120,180,150,150,42.4264068711929
"2014","08","AK","Oval",1,120,120,120,120,120,NA
"2014","08","AL","Flash",1,10,10,10,10,10,NA
"2014","08","AL","Light",3,78,3,60,26,15,30.0499584026334
"2014","08","AL","Sphere",1,30,30,30,30,30,NA
"2014","08","AZ","Circle",1,0,0,0,0,0,NA
"2014","08","AZ","Disk",1,120,120,120,120,120,NA
"2014","08","AZ","Fireball",2,35,5,30,17.5,17.5,17.6776695296637
"2014","08","AZ","Flash",1,600,600,600,600,600,NA
"2014","08","AZ","Formation",1,10,10,10,10,10,NA
"2014","08","AZ","Light",3,2880,180,2400,960,300,1248.51912280109
"2014","08","AZ","Other",1,14400,14400,14400,14400,14400,NA
"2014","08","AZ","Triangle",1,120,120,120,120,120,NA
"2014","08","AZ","Unknown",1,600,600,600,600,600,NA
"2014","08","CA","",1,7200,7200,7200,7200,7200,NA
"2014","08","CA","Changing",3,2520,600,1200,840,720,317.490157327751
"2014","08","CA","Cigar",4,432,0,300,108,66,138.910042833483
"2014","08","CA","Circle",9,15725,2,10800,1747.22222222222,240,3582.08290585861
"2014","08","CA","Cylinder",1,1,1,1,1,1,NA
"2014","08","CA","Diamond",1,420,420,420,420,420,NA
"2014","08","CA","Disk",1,1500,1500,1500,1500,1500,NA
"2014","08","CA","Fireball",7,2586,0,1800,369.428571428571,4,683.944163691466
"2014","08","CA","Flash",2,1201,1,1200,600.5,600.5,847.821030642671
"2014","08","CA","Formation",2,640,40,600,320,320,395.979797464467
"2014","08","CA","Light",21,9311,0,1800,443.380952380952,30,659.951170632379
"2014","08","CA","Other",4,7275,15,5400,1818.75,930,2528.0044007082
"2014","08","CA","Oval",2,60,0,60,30,30,42.4264068711929
"2014","08","CA","Rectangle",5,1508,0,900,301.6,300,365.804319274664
"2014","08","CA","Sphere",2,244,4,240,122,122,166.877200360025
"2014","08","CA","Teardrop",1,5,5,5,5,5,NA
"2014","08","CA","Triangle",4,1809,0,1800,452.25,4.5,898.504822839959
"2014","08","CA","Unknown",4,1320,0,600,330,360,315.59467676119
"2014","08","CO","Changing",1,900,900,900,900,900,NA
"2014","08","CO","Circle",3,540,0,300,180,240,158.745078663875
"2014","08","CO","Fireball",1,180,180,180,180,180,NA
"2014","08","CO","Light",2,285,45,240,142.5,142.5,137.885822331377
"2014","08","CO","Other",2,11100,300,10800,5550,5550,7424.62120245875
"2014","08","CO","Oval",2,1860,60,1800,930,930,1230.36579926459
"2014","08","CO","Sphere",3,5100,300,4500,1700,300,2424.87113059643
"2014","08","CO","Triangle",1,0,0,0,0,0,NA
"2014","08","CO","Unknown",2,2405,5,2400,1202.5,1202.5,1693.52074094178
"2014","08","CT","Fireball",1,0,0,0,0,0,NA
"2014","08","CT","Light",1,7200,7200,7200,7200,7200,NA
"2014","08","CT","Oval",1,120,120,120,120,120,NA
"2014","08","CT","Rectangle",1,180,180,180,180,180,NA
"2014","08","CT","Triangle",1,7200,7200,7200,7200,7200,NA
"2014","08","CT","Unknown",2,5400,2700,2700,2700,2700,0
"2014","08","DC","Light",1,240,240,240,240,240,NA
"2014","08","DE","",1,300,300,300,300,300,NA
"2014","08","DE","Circle",2,307,7,300,153.5,153.5,207.182286887658
"2014","08","DE","Fireball",2,81,6,75,40.5,40.5,48.7903679018718
"2014","08","DE","Formation",2,840,240,600,420,420,254.558441227157
"2014","08","DE","Oval",1,180,180,180,180,180,NA
"2014","08","DE","Triangle",1,15,15,15,15,15,NA
"2014","08","DE","Unknown",1,120,120,120,120,120,NA
"2014","08","FL","",1,0,0,0,0,0,NA
"2014","08","FL","Cigar",1,0,0,0,0,0,NA
"2014","08","FL","Circle",10,20115,0,18000,2011.5,60,5631.0488711153
"2014","08","FL","Cylinder",2,300,0,300,150,150,212.132034355964
"2014","08","FL","Disk",5,3720,0,3600,744,15,1596.94004270668
"2014","08","FL","Egg",1,180,180,180,180,180,NA
"2014","08","FL","Fireball",11,1538,0,420,139.818181818182,60,146.49014859834
"2014","08","FL","Formation",1,120,120,120,120,120,NA
"2014","08","FL","Light",10,5135,0,3600,513.5,120,1102.52248654317
"2014","08","FL","Other",3,3620,20,2400,1206.66666666667,1200,1190.01400551982
"2014","08","FL","Triangle",2,259500,300,259200,129750,129750,183069.945649197
"2014","08","FL","Unknown",2,2040,240,1800,1020,1020,1103.08657865101
"2014","08","GA","",1,0,0,0,0,0,NA
"2014","08","GA","Changing",1,60,60,60,60,60,NA
"2014","08","GA","Cigar",1,1200,1200,1200,1200,1200,NA
"2014","08","GA","Circle",5,305,0,300,61,0,133.622602878405
"2014","08","GA","Cone",1,300,300,300,300,300,NA
"2014","08","GA","Fireball",2,18,3,15,9,9,8.48528137423857
"2014","08","GA","Flash",2,1.5,0,1.5,0.75,0.75,1.06066017177982
"2014","08","GA","Light",4,343,8,300,85.75,17.5,143.034669456977
"2014","08","GA","Other",2,4500,900,3600,2250,2250,1909.18830920368
"2014","08","GA","Rectangle",2,905,5,900,452.5,452.5,632.86056916196
"2014","08","GA","Triangle",1,120,120,120,120,120,NA
"2014","08","HI","Light",9,4533,0,2400,503.666666666667,40,918.462574087807
"2014","08","IA","Chevron",1,180,180,180,180,180,NA
"2014","08","IA","Circle",3,910,0,900,303.333333333333,10,516.752681012236
"2014","08","IA","Diamond",1,60,60,60,60,60,NA
"2014","08","IA","Triangle",1,5,5,5,5,5,NA
"2014","08","ID","Fireball",1,900,900,900,900,900,NA
"2014","08","ID","Formation",1,300,300,300,300,300,NA
"2014","08","ID","Light",5,3475,15,2700,695,120,1145.76393729249
"2014","08","ID","Unknown",1,900,900,900,900,900,NA
"2014","08","IL","",1,10,10,10,10,10,NA
"2014","08","IL","Changing",1,120,120,120,120,120,NA
"2014","08","IL","Circle",4,885,45,600,221.25,120,254.963232643454
