ObservationDate,Height,Build
10/1/1949,7-8 ft,heavy
4/2/1970,8 ft,heavy
4/1/1943,8 ft,very heavy
7/1/1965,9-10 ft,very heavy
6/1/1991,7-8 ft,heavy
1/1/1992,7-8 ft,heavy
11/25/1979,9 ft,heavy
8/1/1944,7-8 ft,very heavy
8/1/1928,5-6 ft,very heavy
7/23/1962,9-10 ft,very heavy
5/1/1909,7 ft,very heavy
4/1/1986,8 ft,very heavy
9/18/1991,7 ft,thin
6/1/1984,5 ft,heavy
5/1/1934,7 ft,very heavy
12/13/1980,7-8 ft,very heavy
6/16/1982,7 ft,very thin
7/19/1954,6 ft,heavy
8/19/1970,11 ft,very heavy
11/23/1969,7-8 ft,heavy
1/1/1970,8 ft,very heavy
6/14/1970,9 ft,very heavy
12/1/1969,8 ft,very heavy
12/1/1969,5-6 ft,heavy
2/14/1970,7-8 ft,heavy
3/1/1970,8 ft,medium
7/9/1970,8 ft,heavy
7/10/1970,8 ft,very heavy
8/2/1970,6 ft,very heavy
4/23/1970,6 ft,very heavy
3/28/1977,7-8 ft,very heavy
4/30/1979,9 ft,heavy
3/15/1987,7-8 ft,heavy
11/11/1989,7-8 ft,heavy
11/12/1989,7-8 ft,heavy
5/26/1972,7-8 ft,heavy
6/1/1970,7-8 ft,very heavy
3/5/1969,9 ft,heavy
2/2/1972,8 ft,very heavy
12/1/1972,7-8 ft,very heavy
8/8/1972,9-10 ft,very heavy
2/1/1972,7-8 ft,very heavy
12/15/1971,7-8 ft,very heavy
8/14/1972,7-8 ft,very heavy
9/1/1972,7-8 ft,very heavy
12/24/1972,6 ft,heavy
5/1/1970,7 ft,very heavy
7/26/1969,7-8 ft,heavy
5/1/1971,8 ft,heavy
9/28/1973,7-8 ft,very heavy
9/1/1972,8 ft,very heavy
9/8/1943,9-10 ft,very thin
10/1/1943,7 ft,very heavy
4/1/1956,9-10 ft,heavy
9/1/1956,7 ft,very heavy
8/1/1961,7-8 ft,very heavy
10/19/1959,12 ft,very heavy
7/1/1960,6 ft,very heavy
8/1/1966,8 ft,heavy
6/5/1967,8 ft,very heavy
8/1/1967,8 ft,heavy
11/8/1967,6 ft,very heavy
11/8/1967,5-6 ft,very heavy
11/8/1967,3-4 ft,heavy
11/1/1968,6 ft,very heavy
11/1/1968,6 ft,very heavy
1/25/1993,7-8 ft,thin
6/26/1969,7-8 ft,very heavy
8/1/1969,6 ft,heavy
8/14/1969,5-6 ft,heavy
6/27/1970,5-6 ft,very heavy
6/30/1970,9-10 ft,very heavy
8/29/1970,9-10 ft,very heavy
9/1/1970,6 ft,very heavy
9/1/1970,8 ft,very heavy
5/28/1971,9-10 ft,very heavy
6/2/1971,8 ft,very heavy
5/14/1973,9-10 ft,very heavy
6/10/1973,8 ft,very heavy
5/11/1947,7 ft,very heavy
2/1/1962,8 ft,heavy
8/10/1962,8 ft,very heavy
9/13/1964,7 ft,very heavy
4/4/1966,8 ft,heavy
10/20/1967,7 ft,very heavy
4/9/1968,8 ft,heavy
7/1/1968,8 ft,heavy
4/16/1969,7 ft,very heavy
7/1/1969,7 ft,very heavy
10/11/1969,8 ft,heavy
7/6/1973,7-8 ft,heavy
9/1/1965,7-8 ft,heavy
8/22/1966,7 ft,very heavy
3/24/1973,7-8 ft,very heavy
4/14/1973,7-8 ft,heavy
2/1/1972,9 ft,very heavy
3/14/1973,8 ft,heavy
5/12/1973,8 ft,very heavy
9/17/1973,10 ft,heavy
11/11/1973,over 14 ft,heavy
8/14/1971,8 ft,heavy
6/17/1970,7-8 ft,heavy
7/4/1969,7-8 ft,very heavy
10/6/1973,9 ft,very heavy
10/30/1967,7-8 ft,heavy
8/4/1986,8 ft,heavy
8/17/1975,10 ft,very heavy
5/1/1981,9 ft,heavy
5/1/1982,8 ft,heavy
1/1/1984,8 ft,heavy
