Date / Time,City,State,Shape,Duration,Summary,Posted
9/25/2014 2:00,Lehigh,FL,Chevron,15 seconds,A chevron-shaped black air craft gliding or floating through the night sky with no sound and held red lights along the edges.,9/25/2014
9/25/2014 0:17,North Greenbush,NY,Light,5 minutes,"Green light ufo in Albany, NY.",9/25/2014
9/24/2014 23:50,Pompono bck,FL,Triangle,30 seconds,Triangular large silent object with rows of light cant explain color weird white from point towing points of light.,9/25/2014
9/24/2014 21:24,Lakeland,FL,Oval,3 minutes,"Oval-shaped object in South Lakeland, FL.",9/25/2014
9/24/2014 21:00,Newton,KS,Diamond,2 minutes,((Hoax??)) Orange glowing object.,9/25/2014
9/24/2014 21:00,Midwest City,OK,Triangle,4 minutes,Three lights in the shape of a triangle traveled west to east across the sky. The lights were a redi orange color. Either three craft.,9/25/2014
9/24/2014 20:30,Saratoga Springs,NY,Circle,20 minutes,((HOAX??)) Saw a red-orange-ish circle. Sat there for 15 min and then watched as it flew away.,9/25/2014
9/24/2014 20:10,Boulder Creek,CA,Sphere,5 minutes,At 20:10-ish on 09/24/14 the object in question was flying at an altitude approximately 500' - 1000' from a Northwesterly direction. It,9/25/2014
9/24/2014 20:10,Edmonton (Canada),AB,Unknown,1 minute,Looked like a plane falling from the sky with a trail of smoke and erradic lights.,9/25/2014
9/24/2014 19:45,Collinsville,IL,Rectangle,40 seconds,Rectangular shape over Collinsville.,9/25/2014
9/24/2014 19:25,Slidell,LA,Triangle,2 minutes,Vivid white triangle cluster of lights in sky.,9/25/2014
9/24/2014 18:25,Hoover,AL,Circle,4 minutes,It appeared to a possible intercepting event with those contrail aircraft and then turned south on highway.,9/25/2014
9/24/2014 11:55,Flatwoods,WV,Cylinder,30 seconds,Shiny silverish/white cylinder with no sound traveling above cloud level.,9/25/2014
9/24/2014 4:11,Scarborough (Canada),ON,Circle,2 hours,"Flashing, color changing lights in sky. ((NUFORC Note: Possible ""twinkling"" star?? PD))",9/25/2014
9/24/2014 2:15,Cave Creek,AZ,Diamond,Continual,"Object with multi colored lights w/random sequence flash. Begin 0205 hrs continual and currently still hovering over E SE Cave Creek, A",9/25/2014
9/24/2014 1:26,Gainesville,FL,Fireball,10 seconds,"Standing outside hotel the sky became bright as if a military flare lit up the area, a fireball which looked like a star was observed s",9/25/2014
9/24/2014 1:00,Saint Charles,IL,Light,45 minutes,Saw a series of lights changing colors in the SE sky.,9/25/2014
9/24/2014 0:30,Homestead,PA,Disk,10,"Very unusual, with a flight pattern, and Strang sounds.",9/25/2014
9/24/2014 0:00,East Las Vegas,NV,Changing,,4 red clear see throw mushrom shape going south right above house convy.,9/25/2014
9/23/2014 23:30,Lafayette,LA,Light,30-40 seconds,"Two pale red lights one sitting right next to the other, appeared, hovered and moved across the sky.",9/25/2014
9/23/2014 23:15,Austin,TX,Other,3 minutes,((HOAX??)) Y-shaped low flying orange glowing object.,9/25/2014
9/23/2014 23:00,Pinehurst,TX,Light,1 second,"A craft, to low to be a satellite, too fast to be a plane, completely silent, flew across the night sky for a second, only to vanish.",9/25/2014
9/23/2014 22:46,Clinton,MS,Fireball,3-5 seconds,Just seen a fireball in the sky I thought at first it was a plane going down. But then realized I had just seen my first real meteor fa,9/25/2014
9/23/2014 21:53,Reading,PA,Light,5-78 seconds,((HOAX??)) Geese-like formation.,9/25/2014
9/23/2014 21:25,Austell,GA,Fireball,5 seconds,Bright light falling to earth.,9/25/2014
9/23/2014 21:18,Hancock,MD,Light,current,Object with flashing green and red lights seen darting across sky then hovering.,9/25/2014
9/23/2014 21:00,Frederick,MD,Light,15 minutes,"Yellow(White), Red and Green lights emulating from stationary object over Ft. Detrick for about 15 mins",9/25/2014
9/23/2014 21:00,Charlottesville,VA,Light,45-60 seconds,5 white lights in succession.,9/25/2014
9/23/2014 20:54,Lawrence,MA,Circle,2 hours,Two orange light traveling fast.,9/25/2014
9/23/2014 20:45,Bolton,CT,Sphere,30 seconds,"Bright orange orb, looking like it flew in a straight line, turn 45 degrees and disappear.",9/25/2014
9/23/2014 20:45,Morgantown,PA,Light,3 seconds,Not a UFO. Looked like a shooting star/meteorite. From SW to SE an orange fireball lit up the sky.,9/25/2014
9/23/2014 20:27,Arlington,TN,Unknown,3 seconds,Spotlight shines over Arlington.,9/25/2014
9/23/2014 19:30,Princeton,KY,Other,5 minutes,Extremely bright objects flying at high speed.,9/25/2014
9/23/2014 19:00,Forestville,NY,Other,20 minutes,"It was a little after 7:00 pm, I was getting the kids into bed when my mother noticed something out the window. She had us all come to",9/25/2014
9/23/2014 16:30,Mississauga (Canada),ON,Cigar,~5 minutes,"White cigar like ufo seen over Mississauga, Ontario",9/25/2014
9/23/2014 4:37,Haleakala National Park,HI,Sphere,5 / 30 minutes,"White, translucent sphere seen on the road up Haleakala Crater, Maui, Hawaii",9/25/2014
9/23/2014 4:00,Taylor,MI,Light,2 hours,"Every night, between 10pm and 5am, a flashing light appears in the sky. It flashs red and blue and moves in strange directions.",9/25/2014
9/23/2014 3:40,Aptos,CA,Light,1 hour,"Flashing star, moves in small increments all directions varying speeds. Ascends 45 degree angle in 1 hr. Stops flashing static.",9/25/2014
9/23/2014 3:40,Torrington,CT,Light,15 seconds,I keep seeing these objects.,9/25/2014
9/23/2014 3:00,Springfield,MO,Circle,1 hour,I was looking out my bedroom window and I saw what looked like a fire ball floating above tree line.,9/25/2014
9/23/2014 1:50,Stockton,CA,Flash,10 seconds,Bright white/blue flash w/tail streak.,9/25/2014
9/22/2014 23:00,Houma,LA,Circle,:45,Orange sphere looking object over Houma.,9/25/2014
9/22/2014 22:30,Kuna,ID,Fireball,15 seconds,Orange glow rather easy to see. Moved slowly across the sky from west to east.,9/25/2014
